username,replied_to_username,location,verified,created_at,text
TonyLGND, , ,False,2018-11-19 18:36:58+00:00,In what alternate reality do you think Wardell is more athletic than Russell Westbrook .
smoovL95,BigDopeSmoke905, ,False,2018-11-19 18:34:28+00:00,@BigDopeSmoke905 @IAmCurtisScott @byyron_wins @TUKing_ @humble_02 spencer was suppose be the daygo  russell westbrook
LaymanAnalyst,greekmamba22, ,False,2018-11-19 18:33:11+00:00,"@greekmamba22 @bansky Russell Westbrook. He relies heavily on athelticism to create and advantage. Unless shooting, handles and decision making greatly improve, he'll wash quickly."
InceHernandez, , ,False,2018-11-19 18:29:19+00:00,If I don’t dress like Russell Westbrook when I’m rich then I have failed my ancestors.
OkcCeltics, , ,False,2018-11-19 18:24:41+00:00,John Wall needs a Karl Malone to his John Stockton or a Steven Adams to his Russell Westbrook....basically a big man who will compliment his passing and pick and roll abilities. Beal just needs his own team with teammates who will defer to him as the main scorer...
joe_espy, , ,False,2018-11-19 18:21:19+00:00,People over analyze basketball way too much..no way you think Steph is a better pure athlete than Russell Westbrook lol no way
PrinceHAK33M, , ,False,2018-11-19 18:15:55+00:00,Lol Steph is more athletic and Russell Westbrook now???  Ok
cody_burke17, , ,False,2018-11-19 18:07:36+00:00,Russell Westbrook really out here livin his best life 💯
rilesforeman, , ,False,2018-11-19 17:43:49+00:00,"Sabrina Ionescu has recorded 12 triple-doubles (tying the D-I career record for men or women) in 75 career games. That's a triple-double in 16% of games played. For reference, Oscar Robertson recorded a triple-double in 17.4% of games in his NBA career. Russell Westbrook? 13.8%."
Deseon_williams,_CamGQ, ,False,2018-11-19 17:40:09+00:00,"@_CamGQ Kyrie Irving 
Steph curry 
Russell Westbrook 
Damian Lillard 
James harden"
raviarun2222,FantasyLabsNBA, ,False,2018-11-19 17:28:56+00:00,@FantasyLabsNBA Sir what about Russell Westbrook? Will he play or not?
ReubenJRD, , ,False,2018-11-19 17:27:14+00:00,"Call it a hot take, but point guards like John Wall and Russell Westbrook  seem to have a hard time finding success in this league from a winning-standpoint. Wall more than Westbrook, but since KD left, Westbrook has holes in his game that can’t be saved by another alpha."
Teddyjaws1, , ,False,2018-11-19 17:26:28+00:00,Russell Westbrook
fantasybballbot, , ,False,2018-11-19 17:21:43+00:00,"team with larry bird, Anthony davis, puss n boots, Russell westbrook, and joakim noah"
El_BEST7,F_Edits, ,False,2018-11-19 17:13:25+00:00,@F_Edits Russell Westbrook?
DIAC1987,Carter09192818, ,False,2018-11-19 17:12:08+00:00,"@Carter09192818 @FanaticLaker @DaveLeeC3 @undisputed @ShannonSharpe Never said he always wins, but he'll put his 100% out there. A player with similar demeanor nowadays is Russell Westbrook. Win or lose, you know they won't mail it in."
goldkisses_, , ,False,2018-11-19 16:50:23+00:00,Russell Westbrook has such a beautiful family
alexberrios214, , ,False,2018-11-19 15:58:49+00:00,We were family before KD got here He got a pass in OKC because of Russell Westbrook he’s not getting aFor destroying a second team locker room on a championship team to
